reason,keep_id,keep_name,loser_id,loser_name,merge_command
same domain,1454,"GE Vernova",1677,"General Electric","node --env-file=.env.local merge-companies.mjs --keep 1454 --loser 1677 --write"
same domain,1632,"Volocopter",2704,"Volocopter","node --env-file=.env.local merge-companies.mjs --keep 1632 --loser 2704 --write"
same domain,1631,"Wisk Aero",2707,"Wisk Aero","node --env-file=.env.local merge-companies.mjs --keep 1631 --loser 2707 --write"
same domain,1643,"ZeroAvia",2706,"ZeroAvia","node --env-file=.env.local merge-companies.mjs --keep 1643 --loser 2706 --write"
same domain,1635,"Vertical Aerospace",2703,"Vertical Aerospace","node --env-file=.env.local merge-companies.mjs --keep 1635 --loser 2703 --write"
same domain,1044,"ESS",1555,"ESS Tech, Inc.","node --env-file=.env.local merge-companies.mjs --keep 1044 --loser 1555 --write"
same domain,1042,"Invinity Energy Systems",1556,"Energy Storage Beyond Lithium / Invinity Energy Systems","node --env-file=.env.local merge-companies.mjs --keep 1042 --loser 1556 --write"
same name,2831,"Star Catcher",2036,"Star Catcher","node --env-file=.env.local merge-companies.mjs --keep 2831 --loser 2036 --write"
same name,91,"Renaissance Fusion",1331,"Renaissance Fusion","node --env-file=.env.local merge-companies.mjs --keep 91 --loser 1331 --write"
same name,2161,"Fortera",2753,"Fortera","node --env-file=.env.local merge-companies.mjs --keep 2161 --loser 2753 --write"
same name,1340,"Flibe Energy",2543,"Flibe Energy","node --env-file=.env.local merge-companies.mjs --keep 1340 --loser 2543 --write"
same name,1355,"Tokamak Energy",2532,"Tokamak Energy","node --env-file=.env.local merge-companies.mjs --keep 1355 --loser 2532 --write"
same name,1327,"Focused Energy",2535,"Focused Energy","node --env-file=.env.local merge-companies.mjs --keep 1327 --loser 2535 --write"
same name,14,"Lhyfe",1278,"Lhyfe","node --env-file=.env.local merge-companies.mjs --keep 14 --loser 1278 --write"
same name,1295,"Sunfire",1811,"Sunfire","node --env-file=.env.local merge-companies.mjs --keep 1295 --loser 1811 --write"
same name,1335,"NuScale Power",2173,"NuScale Power","node --env-file=.env.local merge-companies.mjs --keep 1335 --loser 2173 --write"
same name,1296,"Enapter",2141,"Enapter","node --env-file=.env.local merge-companies.mjs --keep 1296 --loser 2141 --write"
same name,1292,"Verdagy",2132,"Verdagy","node --env-file=.env.local merge-companies.mjs --keep 1292 --loser 2132 --write"
same name,2133,"Hysata",1290,"Hysata","node --env-file=.env.local merge-companies.mjs --keep 2133 --loser 1290 --write"
same name,1330,"The Nuclear Company",1357,"The Nuclear Company","node --env-file=.env.local merge-companies.mjs --keep 1330 --loser 1357 --write"
same name,1337,"X-Energy",1391,"X-energy","node --env-file=.env.local merge-companies.mjs --keep 1337 --loser 1391 --write"
same name,1326,"Avalanche Energy",2537,"Avalanche Energy","node --env-file=.env.local merge-companies.mjs --keep 1326 --loser 2537 --write"
same name,1655,"VoltAero",2111,"VoltAero","node --env-file=.env.local merge-companies.mjs --keep 1655 --loser 2111 --write"
same name,1704,"REGENT",2367,"Regent","node --env-file=.env.local merge-companies.mjs --keep 1704 --loser 2367 --write"
same name,1637,"Heart Aerospace",2107,"Heart Aerospace","node --env-file=.env.local merge-companies.mjs --keep 1637 --loser 2107 --write"
same name,1639,"Bye Aerospace",2359,"Bye Aerospace","node --env-file=.env.local merge-companies.mjs --keep 1639 --loser 2359 --write"
